"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"absolutny";0;0;0;1;0;0;0;0;4;0;0;0;0;0;2;0;0;0;1;2
"abstrakcyjny";0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0
"abym";0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"abyś";0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0
"ach";0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0
"achaje";0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0
"achajski";0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0
"achilles";0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0
"achiwi";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"achiwy";0;0;0;0;0;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0
"aczkolwiek";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"adrenalina";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"afryka";0;1;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0
"afrykański";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"agamemnona";0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
"agamemnonowi";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"agresja";0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"akacja";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"akademia";0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;1;0
"akcja";0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"akolita";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akord";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"akt";0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
"aktualizować";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"aktualny";0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0
"aktywacja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
"aktywista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"aktywność";0;0;1;0;0;0;0;0;1;2;0;0;0;0;23;1;0;0;0;0
"aktywny";0;0;0;0;0;0;1;0;1;0;0;0;0;0;5;1;0;1;1;0
"aktywować";0;0;0;3;0;3;2;0;0;0;0;0;0;0;0;0;0;2;0;0
"akurat";0;0;1;1;1;0;0;0;4;1;1;0;0;0;6;0;0;0;0;0
"alarm";0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0
"alboż";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"aleks";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0
"aleksander";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"ależ";0;3;0;0;0;0;0;0;0;0;2;3;0;0;1;0;2;0;0;0
"alfabet";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"alkohol";0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0
"alkoholowy";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"alternatywny";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"ambicja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
"ambitny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"ambumed";0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambumedu";0;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambumedzie";0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amerykański";0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0
"amos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;12;0
"amosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0
"amunicja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"analityczny";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;3;5;2;0;0;1;2;0;0;0;0;1;0;0;1;0;1
"analizować";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"and";0;0;6;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"angielski";0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0
"anglii";0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
"anioł";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aniżeli";0;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"anomalia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"antenat";0;0;0;0;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antropolog";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"antygrawitonów";0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antygrawitony";0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aparat";0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"aparatura";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
