"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"ä‡ma";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ä‡miä‡";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ä‡wiczeĺ„";0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;1;0;0;0;1
"ä‡wiczenia";0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;1;0;0;1;0
"ä‡wiczyä‡";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0
"ä‡wierä‡";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0
"ä‡wierä‡wiekowy";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"ä‡wiknä…ä‡";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ă©ditions";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"aaaszyl";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abo";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abonament";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absencja";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absolucja";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"absolutny";0;0;0;1;0;0;0;0;4;0;0;0;0;0;2;0;0;0;1;2
"absolwent";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"absorbowaä‡";0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"abstrahujä…c";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abstrakcja";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"abstrakcyjny";0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0
"absurd";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0
"abyĺ›";0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0
"abyĺ›my";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"abym";0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"acan";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"ach";0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0
"achai";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"achajăłw";0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
"achajczyki";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"achaje";0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0
"achajski";0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0
"achilla";0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
"achillem";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"achilles";0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0
"achillesa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"achillesem";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"achillesie";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"achillu";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"achiwăłw";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
"achiwi";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"achiwy";0;0;0;0;0;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0
"acz";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"aczem";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
