"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"absolutny";0;0;0;0,000701754385964912;0;0;0;0;0,00133444537114262;0;0;0;0;0;0,000430570505920344;0;0;0;0,000667779632721202;0,00165152766308836
"abstrakcyjny";0;0;0;0;0;0;0;0;0;0,00292254735095163;0;0;0;0,0021930814055819;0,00029461416514168;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0;0;0,000913082767027925;0,00292254735095163;0;0;0;0,000731027135193965;0;0;0;0;0;0
"abyś";0;0;0;0;0,000868659968158385;0;0;0;0;0;0;0,000638594085502575;0,00265060284804493;0;0;0;0,000566323925582283;0;0;0
"ach";0;0;0;0,000609461611988143;0;0;0;0,000664994484749696;0;0;0,000659440240761658;0,000477713309726679;0;0,000463933118099948;0;0,000658690024333032;0;0;0;0
"afryka";0;0,000897190144856013;0;0;0;0;0;0;0,00116193232438066;0;0;0;0;0,000620173102266924;0,000499876877263157;0;0;0;0;0
"agresja";0;0;0;0,000960338804970599;0,00102393026343667;0;0;0;0,000456541383513963;0;0;0;0;0;0;0;0;0;0;0
"akademia";0;0;0;0,000960338804970599;0;0;0;0;0;0;0,00207818192419606;0;0;0,000731027135193965;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000249938438631578;0,00176103761462826;0;0,00311146143368491;0,000775268145204461;0
"akcja";0;0;0;0,0019206776099412;0;0,00130393787239934;0;0;0;0;0;0;0;0;0,00029461416514168;0;0;0;0;0
